"","player_name","gameid","playid","avg_speed","max_speed"
"1","A.J. Bouye",13980,3363617,2.57898148148148,6.08
"2","A.J. Bouye",13980,3365124,2.1193023255814,6.11
"3","A.J. Bouye",13980,3365131,3.17736842105263,6.58
"4","A.J. Bouye",13980,3365145,2.85388429752066,9.29
"5","Adrian Amos",13973,3362203,2.92599423631124,7.86
"6","Adrian Amos",13973,3363649,2.14215909090909,3.79
"7","Adrian Amos",13973,3363661,3.09267716535433,7
"8","Adrian Amos",13973,3363668,2.91995901639344,6.63
"9","Adrian Colbert",13976,3361171,3.84051724137931,6.76
"10","Adrian Colbert",13976,3362092,2.9581746031746,6.92
"11","Adrian Colbert",13976,3362101,3.21647727272727,6.63
"12","Andrew Adams",13972,3362904,3.58076530612245,6.84
"13","Andrew Sendejo",13984,3365064,3.65619565217391,6.54
"14","Andrew Sendejo",13984,3365073,3.28928571428571,4.8
"15","Andrew Sendejo",13984,3365091,3.14173913043478,5.46
"16","B.W. Webb",13971,3361659,2.98937172774869,8.68
"17","Blake Martinez",13973,3362203,3.78910662824208,7.48
"18","Blessuan Austin",13970,3360324,3.57865591397849,8.25
"19","Blessuan Austin",13970,3360331,2.26486842105263,7.67
"20","Bradley Roby",13974,3362355,5.78875,9.15
"21","Byron Jones",13982,3364709,4.22530303030303,7.11
"22","Byron Jones",13982,3364873,3.24539682539683,7.74
"23","Byron Jones",13982,3364901,4.06179487179487,7.61
"24","Carlton Davis",13972,3363313,4.44329113924051,7.75
"25","Carlton Davis",13972,3363334,2.81566666666667,8.17
"26","Carlton Davis",13972,3363484,3.76376470588235,4.99
"27","Danny Johnson",13978,3361402,2.04147058823529,5.8
"28","Darious Williams",13982,3364055,2.448,7.27
"29","Darious Williams",13982,3364087,3.39892307692308,5.19
"30","Darnell Savage",13973,3363638,2.80038961038961,4.53
"31","Deon Bush",13973,3362193,3.02448717948718,3.93
"32","Devin McCourty",13971,3362372,3.56219858156028,7.06
"33","Greedy Williams",13981,3363445,3.852,7.19
"34","Greedy Williams",13981,3363879,1.91842592592593,5.71
"35","Isaac Yiadom",13975,3362237,3.93720430107527,7.85
"36","Jalen Thompson",13981,3363947,3.64496774193548,6.84
"37","Jalen Thompson",13981,3364955,2.53949771689498,6.46
"38","James Bradberry",13979,3362644,3.79956896551724,8.08
"39","James Bradberry",13979,3363117,4.11977777777778,9.1
"40","James Bradberry",13979,3363669,2.82376404494382,7.32
"41","Jeff Heath",13982,3364873,2.91309523809524,6.02
"42","Jimmy Moreland",13978,3361675,3.22628318584071,8.95
"43","Justin Reid",13974,3361275,2.86101123595506,5.11
"44","Kareem Jackson",13975,3362610,2.89247311827957,5.8
"45","Kevin Johnson",13977,3365445,3.08633802816901,6.13
"46","Kevin King",13973,3361962,3.716,7.38
"47","Kevin King",13973,3362203,3.1236023054755,7.23
"48","Kevin King",13973,3363621,2.9628,4.96
"49","Kevin King",13973,3363638,3.06506493506493,6.08
"50","Kevin King",13973,3363649,1.67897727272727,3.93
"51","Kevin King",13973,3363661,3.17889763779528,5.09
"52","LeShaun Sims",13974,3362842,3.89910447761194,7.88
"53","Levi Wallace",13977,3365364,4.60403846153846,7.76
"54","Levi Wallace",13977,3365604,4.83115789473684,7.62
"55","Levi Wallace",13977,3365635,2.58319526627219,6.32
"56","Linden Stephens",13976,3362092,3.54865079365079,7.82
"57","Linden Stephens",13976,3362101,4.02578651685393,7.67
"58","Marcus Epps",13978,3363636,2.07401639344262,5.99
"59","Marcus Epps",13978,3363646,2.47457516339869,6.71
"60","Marcus Maye",13970,3360367,3.42298611111111,7.08
"61","Michael Davis",13984,3364131,3.48094117647059,8.21
"62","Nate Brooks",13976,3362060,2.29473214285714,5.12
"63","Nevin Lawson",13980,3364271,4.80490740740741,9.34
"64","Nevin Lawson",13980,3364613,2.81417808219178,7.48
"65","P.J. Williams",13985,3365748,3.32146853146853,7.86
"66","Pierre Desir",13985,3365739,5.45940298507463,8.37
"67","Prince Amukamara",13973,3361165,5.55851851851852,9.31
"68","Prince Amukamara",13973,3361878,2.976,6.57
"69","Prince Amukamara",13973,3362160,3.55393258426966,6.31
"70","Prince Amukamara",13973,3362193,2.54448717948718,4.39
"71","Rashaan Melvin",13972,3362458,3.33172588832487,8.19
"72","Sean Murphy-Bunting",13972,3363334,2.7954,8.84
"73","Sidney Jones",13978,3363636,1.46622950819672,3.89
"74","Stephon Gilmore",13971,3362753,2.496,6.95
"75","Terrell Edmunds",13977,3365499,3.71616279069767,6.67
"76","Tramon Williams",13973,3362203,3.73527377521614,7.65
"77","Tre Flowers",13979,3362121,2.87158620689655,7.17
"78","Tre Flowers",13979,3362757,1.71276073619632,6.57
"79","Tre Flowers",13979,3363381,3.69396825396825,8.35
