"","...1","player_name","gameid","playid","avg_speed","max_speed"
"1",1,"Adrian Amos",13762,3020278,2.68743243243243,5.34
"2",2,"Ahkello Witherspoon",13774,3048396,4.39537190082645,8.82
"3",3,"Ahkello Witherspoon",13774,3048514,2.39030927835052,6.12
"4",4,"Amani Hooker",13763,3046520,1.52154761904762,4.21
"5",5,"Amani Hooker",13763,3046527,3.08007142857143,7.04
"6",6,"Amani Hooker",13763,3047549,3.20479674796748,7.06
"7",7,"Amani Hooker",13763,3047590,3.67893805309735,7.08
"8",8,"Andrew Sendejo",13767,3046391,3.49737704918033,6.7
"9",9,"Andrew Sendejo",13767,3047591,2.30586206896552,6.18
"10",10,"Andrew Sendejo",13767,3047674,1.82573529411765,6.72
"11",11,"Andrew Sendejo",13767,3047767,2.17461538461538,5.47
"12",12,"Anthony Averett",13764,3046607,1.80984962406015,6.63
"13",13,"Anthony Barr",13765,3046599,2.502,6.5
"14",14,"Anthony Brown",13772,3049879,1.95603260869565,5.28
"15",15,"B.W. Webb",13771,3049424,2.36616279069767,4.82
"16",16,"Bobby McCain",13764,3046492,4.54818181818182,7.8
"17",17,"Bradley McDougald",13771,3050037,1.80191176470588,3.87
"18",18,"Bradley Roby",13776,3051033,2.9628025477707,7
"19",19,"Bradley Roby",13776,3051305,4.30791208791209,8.79
"20",20,"Byron Murphy",13773,3048708,3.59350806451613,6.69
"21",21,"Casey Hayward Jr.",13770,3049676,2.52326923076923,6.88
"22",22,"Chris Jones",13773,3048480,3.40685863874346,8.16
"23",23,"Chris Jones",13773,3049239,2.06725961538462,7.6
"24",24,"Chris Jones",13773,3049483,1.89698630136986,4.83
"25",25,"Chris Jones",13773,3049794,1.76238095238095,7.11
"26",26,"Chris Jones",13773,3050395,1.19416961130742,3.22
"27",27,"Chris Jones",13773,3050406,2.15502994011976,5.66
"28",28,"D.J. Swearinger Sr.",13773,3050395,1.18604240282686,4.07
"29",29,"D.J. Swearinger Sr.",13773,3050406,2.82464968152866,6.76
"30",30,"Darius Slay",13773,3048793,3.14609375,4.98
"31",31,"Darius Slay",13773,3049412,3.20514925373134,4.42
"32",32,"Darius Slay",13773,3050040,1.44002985074627,7.01
"33",33,"Darius Slay",13773,3050072,1.31476470588235,5.09
"34",34,"Devin McCourty",13775,3050874,1.69771739130435,4.13
"35",35,"Dre Kirkpatrick",13771,3048373,3.3501935483871,7.5
"36",36,"Dre Kirkpatrick",13771,3048808,3.01340206185567,6.47
"37",37,"Earl Thomas III",13764,3047118,1.27025125628141,4.61
"38",38,"Eddie Jackson",13762,3020286,3.87545454545455,6.47
"39",39,"Eli Apple",13776,3051188,5.05872881355932,9.4
"40",40,"Harrison Smith",13765,3045788,3.67489361702128,7.28
"41",41,"Harrison Smith",13765,3046599,3.18653333333333,5.71
"42",42,"Harrison Smith",13765,3047809,3.31548387096774,6.03
"43",43,"Isaac Yiadom",13777,3051543,4.55689655172414,8.78
"44",44,"Jason McCourty",13775,3050872,2.47531914893617,5.68
"45",45,"Jeff Heath",13772,3049321,2.59592857142857,6.66
"46",46,"Jeff Heath",13772,3050014,2.52614634146341,6.8
"47",47,"John Johnson III",13768,3047195,0.708868852459016,6.12
"48",48,"Jomal Wiltz",13764,3046492,4.2105303030303,7.77
"49",49,"Jordan Poyer",13766,3047930,1.41396616541353,3.59
