"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"1",31.75,NA,121,4.45,73.875,NA,55307,"WO","WR",9,NA,7.28,4.62,NA,36,198,75.75,2020
"2",31.75,22,114,4.6,76,NA,39993,"WO","WR",9.625,NA,7.33,4.55,NA,36,223,77,2020
"3",31.875,11,123,4.62,72.75,NA,25522,"WO","WR",9,NA,7.35,4.5,NA,36,212,76.875,2020
"4",30.375,10,115,4.56,68.375,NA,9538,"WO","WR",8.75,1.7,7.17,4.32,2.71,37,185,NA,2015
"5",34,23,124,4.47,74.875,NA,4953,"WO","WR",9,1.63,NA,4.47,2.71,37,218,NA,2009
"6",30.25,NA,NA,4.46,74.875,NA,4959,"WO","WR",9.5,1.64,6.72,4.19,2.67,37.5,209,NA,2009
"7",32.375,NA,126,4.55,73.25,NA,42295,"WO","WR",9.375,NA,NA,NA,NA,38,205,78.875,2020
"8",32.125,23,124,4.73,72.875,NA,29614,"WO","WR",8.75,NA,7.2,4.33,NA,38.5,202,77,2020
"9",32.875,13,126,4.46,74.375,NA,42134,"WO","WR",9.125,NA,NA,NA,NA,39.5,209,78,2020
"10",33.5,11,128,4.5,71.625,NA,84109,"WO","WR",9.75,NA,NA,NA,NA,40,205,80,2020
"11",29,7,NA,4.57,69.5,NA,33014,"WO","WR",9,NA,NA,NA,NA,40,186,69.625,2020
"12",32.5,19,126,4.42,76.25,NA,42312,"WO","WR",9.875,NA,NA,NA,NA,40.5,238,80,2020
"13",33.375,NA,NA,NA,76.75,NA,34914,"WO","WR",8.875,NA,NA,NA,NA,NA,220,79.375,2020
"14",NA,21,111,4.88,72.5,NA,3021,"LB","LB",NA,1.69,7.41,4.38,2.83,32,250,NA,2006
"15",34.125,NA,NA,NA,75.625,NA,61211,"WO","WR",9.25,NA,NA,NA,NA,NA,216,81,2020
"16",32.25,NA,NA,NA,74.75,NA,28486,"WO","WR",9.5,NA,NA,NA,NA,NA,212,75.625,2020
"17",30.875,13,NA,NA,70.625,NA,61361,"WO","WR",9.75,NA,NA,NA,NA,NA,204,74,2020
"18",30.75,15,NA,NA,68.625,NA,61590,"WO","WR",9.375,NA,NA,NA,NA,NA,178,72.5,2020
"19",32.25,NA,125,4.69,75.125,NA,34897,"QB","QB",9.5,NA,7.33,4.51,NA,35,229,78,2020
"20",33.375,NA,99,5.28,78.25,NA,35941,"OL","G",9.75,NA,7.69,4.77,NA,25.5,308,NA,2019
"21",31.875,24,110,4.91,76.25,NA,47339,"OL","C",9.5,1.73,7.76,4.62,NA,29.5,306,77.875,2020
"22",34.75,21,NA,5.52,78,NA,59878,"OL","T",9.5,1.95,NA,NA,NA,25,331,82.75,2020
"23",32.5,26,97,5.35,78,NA,29035,"OL","G",9.75,NA,7.72,4.82,NA,23.5,311,NA,2018
"24",30.5,11,NA,NA,75,NA,41117,"OL","C",9.25,NA,NA,NA,NA,NA,313,76.25,2020
"25",33,NA,109,5.4,77,NA,38924,"OL","G",10.25,NA,7.7,4.9,NA,28,310,NA,2018
"26",32,20,103,5.43,75,NA,46711,"OL","G",10.25,NA,7.9,4.81,NA,25,306,NA,2018
"27",33.625,16,119,4.81,75.75,NA,36344,"TE","TE",10.125,NA,7.3,4.34,NA,34,253,79.125,2020
"28",NA,15,114,4.73,67.5,NA,2207,"RB","HB",NA,1.72,7.01,4.15,2.85,34,193,NA,2004
"29",32.75,15,132,4.48,75.75,NA,48329,"WO","WR",10.25,NA,7.28,4.38,NA,36,225,78,2020
"30",NA,30,108,4.96,75.375,NA,1139,"DL","DI",NA,1.67,7.43,4.41,2.82,33,294,NA,2002
"31",35.625,23,NA,5.1,79.375,NA,59818,"OL","T",10.75,1.77,NA,NA,NA,NA,364,83.25,2020
"32",32.25,20,NA,NA,76.875,NA,12740,"OL","C",10,NA,NA,NA,NA,NA,300,78.5,2020
"33",32.25,NA,NA,NA,75.625,NA,41178,"OL","C",10,NA,NA,NA,NA,NA,314,79.875,2020
"34",35.125,NA,102,5.5,76,NA,46226,"OL","G",9.5,NA,8.32,NA,NA,24,299,NA,2018
"35",33.75,17,98,5.58,77,NA,31982,"OL","G",10.75,NA,7.86,NA,NA,23.5,319,NA,2018
"36",32.25,19,NA,NA,79,NA,44802,"OL","T",9.25,NA,NA,NA,NA,NA,311,NA,2018
"37",33.375,NA,NA,NA,74.375,NA,46048,"OL","T",8.5,NA,NA,NA,NA,NA,313,NA,2018
"38",33.375,NA,NA,NA,78,NA,46848,"OL","T",10.25,NA,NA,NA,NA,NA,291,NA,2018
"39",32.375,NA,117,4.5,72.75,NA,41247,"WO","WR",9.75,NA,NA,NA,NA,36,197,77,2020
"40",32.5,13,121,4.52,76,NA,29049,"WO","WR",9.25,NA,6.96,4.14,NA,36.5,223,79.25,2020
"41",33.125,9,124,4.61,75.625,NA,52130,"WO","WR",9.875,NA,7.01,4.12,NA,36.5,210,80.5,2020
"42",30.625,16,124,4.46,72.25,NA,26448,"WO","WR",9,NA,7.05,4.26,NA,36.5,197,74.375,2020
"43",32.875,NA,125,4.5,72.125,NA,61664,"WO","WR",9,NA,7.28,4.36,NA,36.5,185,78.875,2020
"44",30.375,NA,125,4.45,68.875,NA,61425,"WO","WR",8.375,NA,NA,NA,NA,36.5,170,73,2020
"45",31.625,NA,120,4.51,74.5,NA,6160,"QB","QB",9.625,1.66,6.77,4.12,2.69,35,231,NA,2011
"46",30.875,9,124,4.38,70.125,NA,48236,"WO","WR",9.625,NA,NA,NA,NA,37,176,74,2020
"47",31.125,21,123,4.47,72.5,NA,40221,"WO","WR",9.75,NA,NA,NA,NA,38,224,75.375,2020
"48",33.875,16,131,4.38,74.875,NA,47800,"WO","WR",9.375,NA,6.66,4.43,NA,38.5,207,78.5,2020
"49",31.5,NA,122,4.43,73.5,NA,84142,"WO","WR",9.75,NA,7.07,4.21,NA,38.5,189,75.125,2020
"50",30,10,116,4.34,65.25,NA,5720,"WO","WR",9.125,1.52,6.54,4.48,2.58,42,166,NA,2010
"51",31.375,17,138,4.47,70.625,NA,61697,"WO","WR",9.5,NA,7.31,4.46,NA,42,206,74.375,2020
"52",33.5,NA,NA,NA,77.125,10.75,46139,"OL","T",10,NA,NA,NA,NA,NA,323,82,2020
"53",31.625,26,119,4.67,73,NA,43250,"LB","LB",10.25,NA,6.93,4.34,NA,33.5,230,76.875,2020
"54",30.5,NA,131,4.27,71,NA,61102,"WO","WR",10.125,NA,NA,NA,NA,42,188,74.5,2020
"55",33.75,26,115,5.17,76.375,NA,45419,"OL","T",10,1.78,NA,NA,NA,34,302,82.375,2020
"56",31.125,NA,NA,NA,76.625,NA,27305,"OL","G",10.125,NA,NA,NA,NA,NA,315,76.75,2020
"57",33.5,NA,139,4.48,73.625,NA,61439,"WO","WR",10.125,NA,NA,NA,NA,44.5,212,79.25,2020
"58",31.25,NA,NA,NA,71.5,NA,23503,"WO","WR",9.125,NA,7,4.35,NA,NA,203,75,2020
"59",NA,NA,NA,4.48,74.25,NA,785,"WO","WR",NA,NA,NA,NA,NA,NA,219,NA,2001
"60",31.875,17,NA,4.58,72.625,NA,61220,"WO","WR",9,NA,NA,NA,NA,NA,227,76.25,2020
"61",31.75,17,NA,NA,77.625,NA,47808,"WO","WR",9,NA,NA,NA,NA,NA,222,78.5,2020
"62",30.875,NA,NA,NA,73.375,NA,48054,"WO","WR",9,NA,NA,NA,NA,NA,206,75,2020
"63",32.75,NA,NA,NA,73.5,NA,47447,"WO","WR",9.125,NA,NA,NA,NA,NA,200,77.125,2020
"64",29.5,NA,NA,NA,70.5,NA,33010,"PK","K",8.75,NA,NA,NA,NA,NA,185,71.5,2020
"65",34.25,28,108,5.16,76.625,NA,43883,"DL","DI",9,NA,8.22,4.79,NA,27,326,80.875,2020
"66",NA,NA,NA,NA,71.375,NA,3715,"WO","WR",NA,1.58,NA,NA,2.63,NA,186,NA,2007
"67",32.375,NA,NA,NA,76.5,NA,33672,"PK","K",8.5,NA,NA,NA,NA,NA,195,78.25,2020
"68",NA,26,107,4.89,77,NA,1204,"DL","DI",NA,1.77,7.28,4.51,2.91,33.5,279,NA,2002
"69",30.75,NA,NA,NA,71.25,NA,44576,"PK","K",9.5,NA,NA,NA,NA,NA,182,73.375,2020
"70",32.375,NA,107,4.9,75.125,NA,44526,"DL","DI",9.75,NA,7.77,4.67,NA,29,290,78.75,2020
"71",33,NA,NA,5.05,76.125,NA,59820,"OL","T",10,1.87,NA,NA,NA,NA,321,80.375,2020
"72",32.5,35,106,5.2,74.75,NA,4504,"DL","DI",9.25,1.74,8.05,5,2.96,28,315,NA,2008
"73",30.625,NA,NA,NA,73,NA,34038,"PK","K",9,NA,NA,NA,NA,NA,190,73.125,2020
"74",33,NA,120,4.61,76.375,NA,6162,"QB","QB",10,1.62,6.84,4.26,2.71,33.5,234,NA,2011
"75",32.125,NA,116,4.63,74,NA,6164,"QB","QB",10.25,1.64,6.85,4.09,2.76,34,229,NA,2011
"76",33,NA,100,5.05,78.125,NA,8440,"QB","QB",9.25,1.72,7.2,4.51,2.91,NA,232,NA,2013
"77",31.5,NA,110,4.69,74.375,NA,8671,"QB","QB",9.125,1.64,NA,4.2,2.73,34.5,214,NA,2014
"78",33,NA,119,4.66,74.5,NA,11767,"QB","QB",9.75,1.6,6.95,4.31,2.72,32.5,221,NA,2017
"79",31.75,NA,NA,NA,78.125,NA,17287,"QB","QB",10.375,NA,NA,NA,NA,NA,224,77.625,2020
"80",29.625,13,NA,4.69,72.625,NA,37721,"PK","K",9.375,NA,NA,NA,NA,34,213,72.25,2020
"81",31.375,18,111,4.69,71.625,NA,43858,"LB","LB",9.375,NA,7.38,4.32,NA,33,234,75.625,2020
"82",32.75,NA,122,4.66,74.625,NA,28081,"LB","LB",10.25,NA,6.83,4.32,NA,36,247,79.375,2020
"83",33,31,105,4.84,76,NA,4429,"DL","DI",10,1.62,7.73,4.55,2.7,28,305,NA,2008
"84",32.375,15,124,4.88,74.375,NA,27503,"LB","LB",9.125,NA,7,4.32,NA,42,237,76.375,2020
