"","gameid","playid","player","avg_speed","seconds_before_contact","ybc"
"1",18693,3716647,"Duke Johnson Jr.",5.434,1,2
"2",18693,3716656,"Duke Johnson Jr.",2.2464,2.5,0
"3",18693,3716662,"Adrian Peterson",5.296,1,0
"4",18693,3716665,"Adrian Peterson",4.58545454545455,1.1,0
"5",18693,3716676,"Adrian Peterson",5.545,0.6,-1
"6",18693,3716678,"Adrian Peterson",5.08,0.9,0
"7",18693,3716685,"Duke Johnson Jr.",3.95052631578947,1.9,4
"8",18693,3716687,"Duke Johnson Jr.",6.536,3,5
"9",18693,3716703,"Jonathan Williams",3.47881578947368,7.6,5
"10",18693,3716708,"C.J. Prosise",3.472,1,-1
"11",18693,3716715,"Kerryon Johnson",4.05285714285714,0.7,-5
"12",18693,3716717,"Kerryon Johnson",5.166,1,0
"13",18693,3716722,"Kerryon Johnson",4.84764705882353,1.7,3
"14",18693,3716723,"Kerryon Johnson",3.08610169491525,5.9,3
"15",18693,3716724,"C.J. Prosise",3.15192307692308,5.2,2
"16",18693,3716733,"Kerryon Johnson",4.8125,1.2,1
"17",18693,3716737,"Adrian Peterson",4.80705882352941,1.7,1
"18",18693,3716747,"Duke Johnson Jr.",4.19352941176471,1.7,4
"19",18693,3716749,"Duke Johnson Jr.",4.8,1.2,2
"20",18693,3716751,"Duke Johnson Jr.",4.436,1,0
"21",18693,3716764,"Adrian Peterson",4.86789473684211,1.9,0
"22",18693,3716770,"Adrian Peterson",4.14555555555556,0.9,-3
"23",18693,3716773,"Kerryon Johnson",6.02,1.5,2
"24",18693,3716775,"Kerryon Johnson",5.79086956521739,2.3,0
"25",18693,3716783,"Duke Johnson Jr.",4.87142857142857,2.1,5
"26",18693,3716807,"Kerryon Johnson",5.01923076923077,1.3,2
"27",18693,3716830,"Adrian Peterson",6.16242424242424,3.3,14
"28",18693,3716832,"Adrian Peterson",4.94416666666667,1.2,0
"29",18693,3716833,"Adrian Peterson",4.43888888888889,1.8,2
"30",18693,3716835,"Adrian Peterson",4.36133333333333,1.5,0
"31",18693,3716836,"Adrian Peterson",3.18681818181818,2.2,0
"32",18693,3716839,"Kerryon Johnson",4.83481481481481,2.7,5
"33",18693,3716840,"Kerryon Johnson",5.51636363636364,1.1,1
"34",18693,3716841,"Kerryon Johnson",4.76,1.3,1
"35",18693,3716843,"Adrian Peterson",5.699375,1.6,2
"36",18693,3716861,"Duke Johnson Jr.",4.92166666666667,1.2,3
"37",18693,3716865,"Duke Johnson Jr.",4.31466666666667,1.5,4
"38",18693,3716868,"C.J. Prosise",4.00285714285714,1.4,1
"39",18693,3716879,"Adrian Peterson",5.918,1.5,2
"40",18693,3716883,"Adrian Peterson",6.0025,1.2,2
"41",18693,3716898,"Jordan Akins",3.7825,0.4,-1
"42",18693,3716914,"Jason Cabinda",3.57285714285714,0.7,0
"43",18693,3716950,"C.J. Prosise",4.3884,2.5,4
"44",18693,3716952,"C.J. Prosise",4.04636363636364,2.2,1
"45",18694,3716985,"Antonio Gibson",7.48829268292683,4.1,3
"46",18694,3716994,"Ezekiel Elliott",5.573,1,0
"47",18694,3716997,"Ezekiel Elliott",3.80333333333333,0.9,-2
"48",18694,3717006,"Tony Pollard",5.10666666666667,1.2,1
"49",18694,3717020,"Peyton Barber",4.00916666666667,1.2,1
"50",18694,3717027,"Antonio Gibson",4.84357142857143,1.4,0
"51",18694,3717032,"Antonio Gibson",3.87176470588235,1.7,1
"52",18694,3717037,"Antonio Gibson",5.79466666666667,1.5,2
"53",18694,3717048,"Ezekiel Elliott",2.8,1.1,0
"54",18694,3717052,"Tony Pollard",4.48837837837838,3.7,-4
"55",18694,3717062,"Antonio Gibson",4.23266666666667,1.5,2
"56",18694,3717065,"Antonio Gibson",4.325,0.8,-1
"57",18694,3717071,"Antonio Gibson",4.945625,1.6,-1
"58",18694,3717076,"Peyton Barber",5.22,1.5,4
"59",18694,3717082,"J.D. McKissic",4.31266666666667,4.5,4
"60",18694,3717097,"Ezekiel Elliott",5.18230769230769,1.3,0
"61",18694,3717103,"Antonio Gibson",5.39928571428571,2.8,9
"62",18694,3717106,"Antonio Gibson",4.09846153846154,1.3,-2
"63",18694,3717144,"Ezekiel Elliott",4.93166666666667,1.2,3
"64",18694,3717145,"Ezekiel Elliott",5.08153846153846,1.3,1
"65",18694,3717149,"Antonio Gibson",5.39789473684211,1.9,0
"66",18694,3717152,"Antonio Gibson",7.30466666666667,3,-1
"67",18694,3717164,"Ezekiel Elliott",6.25037037037037,2.7,8
"68",18694,3717168,"Ezekiel Elliott",5.9625,1.2,5
"69",18694,3717171,"Tony Pollard",5.02333333333333,0.9,0
"70",18694,3717181,"Peyton Barber",5.22714285714286,1.4,2
"71",18694,3717184,"Antonio Gibson",7.87166666666667,3,1
"72",18694,3717194,"Ezekiel Elliott",2.85333333333333,0.9,-2
"73",18694,3717205,"Antonio Gibson",5.87416666666667,2.4,3
"74",18694,3717219,"Tony Pollard",4.86133333333333,1.5,2
"75",18694,3717256,"Ezekiel Elliott",4.99,2.5,1
"76",18694,3717282,"Antonio Gibson",4.01125,0.8,-2
"77",18694,3717291,"Peyton Barber",3.7225,2,1
"78",18694,3717294,"Antonio Gibson",4.760625,1.6,2
"79",18694,3717296,"Antonio Gibson",4.68826086956522,2.3,-2
"80",18694,3717298,"Peyton Barber",3.61666666666667,1.2,0
"81",18694,3717302,"Peyton Barber",4.46090909090909,1.1,1
"82",18694,3717345,"Peyton Barber",3.90142857142857,1.4,0
"83",18694,3717348,"Peyton Barber",4.168,2,0
