"","gameid","playid","player","avg_speed","seconds_before_contact","ybc"
"1",13986,3373844,"Bo Scarbrough",5.02315789473684,1.9,3
"2",13986,3373846,"Bo Scarbrough",5.15473684210526,1.9,0
"3",13986,3373868,"Ty Johnson",7.0828125,3.2,4
"4",13986,3373889,"Bo Scarbrough",5.30454545454545,1.1,-2
"5",13986,3374047,"Phillip Lindsay",5.805,2,-1
"6",13986,3374076,"Phillip Lindsay",4.30636363636364,2.2,1
"7",13986,3374107,"Kerryon Johnson",4.84285714285714,1.4,2
"8",13986,3374110,"Kerryon Johnson",4.75142857142857,1.4,1
"9",13986,3374118,"Kerryon Johnson",4.6435,2,5
"10",13986,3374122,"Kerryon Johnson",4.34125,1.6,3
"11",13986,3374136,"Bo Scarbrough",4.333,1,-1
"12",13986,3374160,"Royce Freeman",5.326,1.5,1
"13",13986,3374259,"Phillip Lindsay",7.6953125,3.2,4
"14",13986,3374264,"Phillip Lindsay",7.43222222222222,1.8,1
"15",13986,3374270,"Phillip Lindsay",4.82470588235294,1.7,4
"16",13986,3374297,"Royce Freeman",5.11916666666667,1.2,0
"17",13986,3374317,"Royce Freeman",5.85333333333333,1.2,0
"18",13986,3374336,"Bo Scarbrough",4.391,1,-1
"19",13986,3374350,"Phillip Lindsay",5.78285714285714,1.4,1
"20",13986,3374370,"Royce Freeman",4.44117647058824,1.7,2
"21",13986,3374381,"Phillip Lindsay",4.534375,1.6,1
"22",13986,3374387,"Phillip Lindsay",4.18714285714286,2.1,3
"23",13986,3374448,"Phillip Lindsay",4.7565625,3.2,2
"24",13986,3374511,"Phillip Lindsay",4.25368421052632,1.9,1
"25",13986,3374520,"Phillip Lindsay",5.87833333333333,1.2,0
"26",13986,3374530,"Andrew Beck",4.042,1,1
"27",13986,3374579,"Royce Freeman",4.986875,1.6,2
"28",13986,3374607,"Kerryon Johnson",5.76263157894737,1.9,2
"29",13986,3374612,"Bo Scarbrough",5.99,1,0
"30",13986,3374617,"Bo Scarbrough",3.38421052631579,1.9,0
"31",13986,3374622,"Kerryon Johnson",4.2325,0.8,-1
"32",13986,3374627,"Ty Johnson",5.33947368421053,1.9,3
"33",13986,3374647,"Kerryon Johnson",6.5865,2,1
"34",13986,3374686,"Royce Freeman",4.86916666666667,1.2,1
"35",13986,3374699,"Phillip Lindsay",4.1378947368421,1.9,0
"36",13986,3374706,"Phillip Lindsay",4.8685,2,-3
"37",13986,3374726,"Phillip Lindsay",4.25722222222222,1.8,2
"38",13986,3374735,"Phillip Lindsay",7.20925925925926,5.4,9
"39",13986,3374783,"Bo Scarbrough",4.81692307692308,1.3,2
"40",13986,3374792,"Kerryon Johnson",5.33166666666667,1.2,0
"41",13986,3374837,"Royce Freeman",4.87916666666667,1.2,-2
"42",13986,3374861,"Phillip Lindsay",6.84904761904762,4.2,21
"43",13986,3374937,"Royce Freeman",4.804,1.5,2
"44",13986,3374942,"Royce Freeman",5.532,1,0
"45",13986,3374971,"Ty Johnson",6.135,1.4,5
"46",13986,3375037,"Phillip Lindsay",5.97652173913044,2.3,3
"47",13986,3375046,"Phillip Lindsay",4.62307692307692,1.3,0
"48",13987,3369187,"Sony Michel",3.685,1.2,-1
"49",13987,3369195,"Rex Burkhead",4.48125,1.6,1
"50",13987,3369221,"Devin Singletary",6.56476190476191,2.1,-1
"51",13987,3369225,"Devin Singletary",4.27785714285714,1.4,1
"52",13987,3369239,"John Brown",8.08444444444445,3.6,2
"53",13987,3369245,"Devin Singletary",4.11030303030303,3.3,-1
"54",13987,3369275,"Rex Burkhead",6.7136,2.5,4
"55",13987,3369287,"Sony Michel",5.87125,2.4,5
"56",13987,3369293,"Sony Michel",5.14769230769231,1.3,1
"57",13987,3369297,"Sony Michel",4.49166666666667,1.2,2
"58",13987,3369307,"Sony Michel",4.09294117647059,1.7,2
"59",13987,3369320,"Sony Michel",3.46866666666667,1.5,1
"60",13987,3369342,"Devin Singletary",6.19777777777778,0.9,-3
"61",13987,3369348,"Devin Singletary",3.99470588235294,1.7,2
"62",13987,3369384,"Sony Michel",3.76,1.1,0
"63",13987,3369422,"Sony Michel",5.69714285714286,2.8,3
"64",13987,3369430,"James White",4.39230769230769,1.3,1
"65",13987,3369434,"N'Keal Harry",7.543125,3.2,-4
