"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","event_date","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","venue_franchise_id","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"1",32.675,23,111,"2020-03-11",4.71,76,NA,47743,"TE","TE",10.25,1.64,7.19,4.43,2.59,NA,32.5,252,78.875,2020
"2",33.25,NA,NA,NA,NA,76.625,NA,8828,"G","G",10.25,NA,NA,5.5,NA,NA,NA,316,NA,2014
"3",32.5,17,112,"2018-03-13",4.92,75.375,NA,30887,"TE","TE",9.625,1.73,7.07,4.46,2.94,NA,34,250,79.875,2018
"4",34.25,24,139,"2019-03-19",4.82,67,NA,48362,"ED","ED",9.125,1.69,8.08,5.12,2.78,NA,32,NA,NA,2019
"5",34.25,19,107,"2019-03-19",4.99,NA,NA,48368,"ED","ED",10,1.8,7.22,4.72,2.95,NA,29.5,NA,NA,2019
"6",NA,15,NA,"2020-03-02",NA,73,NA,56051,"LB","LB",NA,NA,6.82,NA,NA,NA,NA,200,NA,2020
"7",34.75,22,117,"2019-03-12",4.7,NA,NA,48427,"ED","ED",10.25,1.65,NA,NA,2.73,NA,39,NA,NA,2019
"8",32.625,NA,NA,NA,NA,78.625,NA,8268,"G","G",9.625,NA,NA,4.57,NA,NA,NA,317,NA,2013
"9",31,NA,NA,"2020-03-04",NA,71.125,NA,35904,"LB","LB",9,NA,NA,NA,NA,NA,NA,231,73.125,2020
"10",33.875,8,123,"2020-03-04",4.61,75.625,NA,34384,"LB","LB",9.375,NA,6.88,4.28,NA,NA,36.5,217,80.5,2020
"11",31,18,111,"2019-04-04",4.78,NA,NA,49691,"LB","LB",9,1.73,7.08,4.48,2.82,NA,29.5,NA,NA,2019
"12",32.75,21,109,"2019-03-26",4.83,NA,NA,49714,"LB","LB",10,1.69,7.06,4.25,2.76,NA,32,NA,NA,2019
"13",34.5,25,NA,"2019-03-25",NA,NA,NA,48467,"ED","ED",10.125,NA,NA,NA,NA,NA,NA,NA,NA,2019
"14",33.5,20,130,"2019-03-06",4.7,NA,NA,49722,"LB","LB",9.75,1.62,7.09,4.32,2.72,NA,36.5,NA,NA,2019
"15",NA,23,115,"2019-03-20",4.68,NA,NA,48493,"ED","ED",NA,NA,7.15,4.96,NA,NA,28.5,NA,NA,2019
"16",32.875,17,117,"2019-03-22",4.83,NA,NA,48495,"ED","ED",9.25,1.63,7.09,4.39,2.81,NA,34,NA,NA,2019
"17",NA,22,132,"2019-03-25",4.48,79,NA,49753,"LB","LB",NA,NA,6.77,4.18,NA,NA,39.5,NA,NA,2019
"18",34.5,NA,99,NA,4.97,75.5,NA,7717,"G","T",10.25,1.75,7.77,4.57,2.93,NA,27.5,306,NA,2012
"19",NA,NA,128,"2020-03-04",4.44,75.625,NA,109740,"WR","WR",NA,NA,7.22,4.18,NA,NA,41.5,203,NA,2020
"20",33,17,124,"2019-03-21",4.59,76,NA,49779,"LB","LB",9.875,1.62,7.25,4.41,2.64,NA,39.5,NA,NA,2019
"21",32.25,23,129,"2019-03-20",4.87,NA,NA,48532,"ED","ED",8.25,1.65,7.01,4.47,2.71,NA,40.5,NA,NA,2019
"22",30.25,20,115,"2019-03-27",4.66,74.125,NA,49816,"LB","LB",8.75,1.58,NA,NA,2.7,NA,33,233,NA,2019
"23",32.5,25,118,"2019-03-06",4.79,NA,NA,49844,"LB","LB",9.875,1.7,7.57,4.44,2.84,NA,34.5,NA,NA,2019
"24",33.75,21,123,"2019-03-27",4.69,NA,NA,50204,"LB","LB",10.25,1.68,7.4,4.45,2.7,NA,32.5,NA,NA,2019
"25",31.25,19,119,"2019-03-13",4.85,NA,NA,48567,"ED","ED",9.375,1.63,6.89,4.35,2.83,NA,32.5,NA,NA,2019
"26",32.25,20,125,"2019-03-29",4.73,NA,NA,50689,"LB","LB",9.5,1.61,7.02,4.21,2.69,NA,36,NA,NA,2019
"27",30.5,18,120,"2019-03-26",4.65,NA,NA,50780,"LB","LB",10.125,1.59,7.08,4.49,2.64,NA,34,NA,NA,2019
"28",32.375,23,120,"2019-03-20",4.73,NA,NA,48651,"ED","ED",9.125,1.64,7.11,4.53,2.78,NA,34.5,NA,NA,2019
"29",NA,26,NA,"2019-03-07",4.51,NA,NA,50783,"LB","LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"30",NA,20,126,"2019-03-22",4.51,76,NA,50810,"LB","LB",NA,NA,7.03,4.43,NA,NA,39.5,NA,NA,2019
"31",32.875,24,121,"2018-03-26",NA,75.25,NA,48376,"ED","ED",10.375,NA,7.28,4.52,NA,NA,35,255,NA,2018
"32",NA,NA,114,"2019-03-08",4.91,NA,NA,50922,"LB","LB",NA,NA,NA,NA,NA,NA,29.5,NA,NA,2019
"33",31.75,30,122,"2018-03-17",4.62,72.125,NA,49834,"LB","LB",9.5,1.55,6.97,4.22,2.65,NA,38,239,NA,2018
"34",NA,NA,121,"2018-03-14",4.77,76,NA,48452,"ED","ED",NA,1.67,NA,4.4,2.77,NA,32.5,264,NA,2018
"35",NA,NA,NA,"2018-03-12",NA,74,NA,49836,"LB","LB",NA,NA,NA,NA,NA,NA,35,239,NA,2018
"36",34.325,29,114,"2018-03-17",4.94,77,NA,48684,"ED","ED",10,1.63,7.32,4.77,2.81,NA,31.5,280,NA,2018
"37",30.125,20,105,"2020-03-05",5.26,73.25,NA,77018,"DI","DI",9.375,1.78,8.8,4.57,3,NA,26.5,283,75.75,2020
"38",32.875,17,109,"2020-03-05",5.06,73,NA,82508,"DI","DI",9.625,NA,7.69,4.56,NA,NA,30.5,286,78.5,2020
"39",32.875,30,117,"2019-04-01",5.28,NA,NA,48854,"DI","DI",9.875,1.74,7.81,4.63,2.9,NA,31.5,NA,NA,2019
"40",NA,23,NA,"2018-03-12",NA,74.375,NA,49842,"LB","LB",NA,NA,NA,NA,NA,NA,NA,252,NA,2018
"41",30.375,NA,NA,NA,NA,70.625,NA,4383,"FB","FB",8.375,NA,NA,NA,NA,NA,29,226,NA,2008
"42",NA,NA,106,"2018-03-29",5.02,75.875,NA,50592,"LB","LB",NA,1.73,7.32,4.41,2.89,NA,27,264,NA,2018
"43",34.125,19,118,"2019-03-07",4.96,NA,NA,48374,"DI","DI",9.375,1.62,7.35,4.62,2.83,NA,33,NA,NA,2019
"44",31,14,100,"2021-03-10",5.27,71.875,NA,58431,"LS","LS",9.5,1.83,7.65,4.56,3.06,NA,26,233,76.5,2021
"45",NA,23,122,"2012-03-08",4.61,71.375,NA,7288,"S","S",NA,1.59,6.83,4.28,2.73,NA,35.5,206,NA,2012
"46",NA,27,98,"2020-03-06",5.27,71.625,NA,36393,"DI","DI",NA,NA,NA,NA,NA,NA,23.5,285,NA,2020
"47",NA,20,NA,"2020-03-10",NA,76,NA,79271,"DI","DI",NA,NA,NA,NA,NA,NA,NA,320,NA,2020
"48",35.625,NA,NA,"2020-03-05",NA,76.375,NA,45419,"T","T",10,NA,8.08,NA,NA,NA,NA,300,83.75,2020
"49",33.5,25,102,NA,5.22,75.625,NA,7144,"G","G",9.625,1.8,7.59,NA,3,NA,NA,307,NA,2012
"50",32.5,16,123,NA,4.45,71.75,NA,3870,"ST","WR",8.5,1.49,7.07,4.34,2.58,NA,40.5,191,NA,2007
"51",32.25,25,102,NA,5.32,78.375,NA,7168,"G","G",9.75,1.81,7.93,4.84,3.1,NA,25,319,NA,2012
"52",34.375,26,104,"2020-03-10",5.35,78,NA,94687,"T","T",9.5,NA,8.24,5.48,NA,NA,26.5,311,81,2020
"53",NA,18,117,"2020-03-06",4.62,73,NA,49865,"LB","LB",NA,NA,NA,NA,NA,NA,32.5,242,NA,2020
"54",32.375,19,93,"2019-03-20",5.32,NA,NA,94353,"DI","DI",9.75,1.77,8.16,5.16,3.03,NA,24,NA,NA,2019
"55",NA,17,123,NA,4.45,69.25,NA,10074,"WR","WR",NA,1.56,7.02,4.22,2.52,NA,36.5,186,NA,2015
"56",NA,20,133,NA,4.7,70.875,NA,10055,"S","S",NA,1.58,6.78,4.33,2.69,NA,40,215,NA,2015
"57",NA,15,113,NA,4.54,76.5,NA,9883,"WR","WR",NA,1.62,6.9,4.26,2.6,NA,31,209,NA,2015
"58",NA,18,116,"2020-03-10",NA,72,NA,43524,"LB","LB",NA,NA,NA,NA,NA,NA,33,248,NA,2020
"59",34.5,23,109,"2020-03-10",5.13,74.625,NA,87178,"DI","DI",NA,NA,NA,NA,NA,NA,28,307,NA,2020
"60",32.375,18,122,"2018-03-29",4.64,72.5,NA,50893,"LB","LB",10,1.64,7.26,4.46,2.7,NA,41.5,230,NA,2018
"61",34,NA,107,"2019-03-15",5.21,NA,NA,48445,"DI","DI",10.125,1.81,7.75,4.94,2.91,NA,30.5,NA,NA,2019
"62",NA,25,93,"2019-03-08",5.43,NA,NA,48620,"DI","DI",NA,NA,7.82,4.69,NA,NA,23.5,NA,NA,2019
"63",32.5,10,110,"2018-03-19",4.77,73.25,NA,50918,"LB","LB",9.25,1.73,7.13,4.4,2.79,NA,32.5,229,NA,2018
