"","player","player_id","season","offense","rushes","exp_speed","avg_speed","avg_speed_oe","forty","combine_season","twenty","ten","speed_perc","speed_rank","adj_forty","adj_twenty"
"1","Carlos Hyde",8692,2020,"SEA",74,5.10279709906191,5.59121660506589,0.488419506003973,4.66,2014,2.77,1.69,100,1,4.34,2.55
"2","Alvin Kamara",11822,2018,"NO",145,5.30111499654836,5.78186807338773,0.480753076839373,4.56,2017,2.61,1.55,99.2,2,4.38,2.55
"3","Samaje Perine",11869,2020,"CIN",57,4.88564974383304,5.34292772445794,0.457277980624902,4.65,2017,2.7,1.62,96.9,3,4.38,2.55
"4","Derrick Henry",10679,2020,"TEN",360,5.27862332264582,5.72895219718014,0.450328874534317,4.54,2016,2.67,1.6,96.2,4,4.39,2.57
"5","Jeff Wilson Jr.",29413,2018,"SF",53,5.22800994369219,5.67487450213107,0.446864558438881,4.61,2018,2.66,1.65,95.9,5,4.39,2.57
"6","Matt Breida",12271,2018,"SF",126,5.42600851210337,5.86108524568603,0.435076733582661,4.43,2017,2.59,1.59,94.7,6,4.4,2.57
"7","Justice Hill",45865,2019,"BAL",53,5.05671487664277,5.48975669959452,0.433041822951757,4.4,2019,2.66,1.60130952380952,94.5,7,4.4,2.57
"8","Dalvin Cook",11796,2018,"MIN",113,5.2072308253398,5.63745108789085,0.430220262551049,4.49,2017,2.63,1.59,94.3,8,4.4,2.57
"9","Gus Edwards",46027,2018,"BAL",124,4.76044013615577,5.17104333331147,0.410603197155699,4.56,2018,2.64,1.69,92.3,9,4.4,2.57
"10","Jeff Wilson Jr.",29413,2020,"SF",112,5.17868711054325,5.57009227548351,0.39140516494026,4.61,2018,2.66,1.65,90.4,10,4.4,2.57
"11","Tevin Coleman",9506,2018,"ATL",124,5.45686153442629,5.84746302557341,0.390601491147126,4.44,2015,2.57,1.58,90.3,11,4.4,2.57
"12","Raheem Mostert",9783,2020,"SF",102,5.36040214931264,5.74451480260103,0.38411265328839,4.42,2015,2.62,1.56,89.7,12,4.41,2.59
"13","Kenyan Drake",10707,2020,"ARI",220,4.75590707172047,5.12799650821849,0.372089436498019,4.45,2016,2.64,1.64,88.5,13,4.42,2.59
